,summary,Winter,Herbst,Frühling,Sommer,word
offen warm,2.8281838135837396,0.17700759236714195,-0.45571958531456636,-0.22042424731399807,-0.4222202382589997,offen warm
warm schule,2.3259839431468032,0.10911501801106578,-0.2602279925296819,-0.02493265452911355,-0.2267286454741152,warm schule
winter das,2.3808174305009278,0.11818545206238883,-0.28352872857012107,-0.0482333905695528,-0.25002938151455434,winter das
schulden,2.2809583567970786,0.10127489686284176,-0.2406805282415086,-0.005385190240940329,-0.20718118118594187,schulden
das schuld,2.2809583567970786,0.10127489686284176,-0.2406805282415086,-0.005385190240940329,-0.20718118118594187,das schuld
schuld kind,2.074560772626142,0.05998078052813054,-0.14583429709467943,0.08946104090588856,-0.11233495003911295,schuld kind
kind pandemie,1.9818553543593502,0.03794604496724769,-0.10011829526892879,0.1351770427316393,-0.06661894821336212,kind pandemie
pandemie die,1.9463060389894635,0.02879801621879745,-0.08201807872796013,0.15327725927260805,-0.04851873167239345,pandemie die
Kultusminister,2.30541060020427,0.10557827297686849,-0.2513436368247248,-0.016048298824156697,-0.21784428976915826,Kultusminister
die kultusminister,1.934412143017203,0.025642893255706047,-0.07588831992759233,0.15940701807297578,-0.042388972872025754,die kultusminister
versprechen,1.8979696973859537,0.015664241524558392,-0.05686957617154237,0.17842576182902578,-0.023370229115975825,versprechen
kultusminister versprech,1.8979696973859537,0.015664241524558392,-0.05686957617154237,0.17842576182902578,-0.023370229115975825,kultusminister versprech
offene,1.8754152782915376,0.009241653038640862,-0.04491495831573199,0.1903803796848362,-0.011415611260165302,offene
versprech offen,1.8754152782915376,0.009241653038640862,-0.04491495831573199,0.1903803796848362,-0.011415611260165302,versprech offen
Klassenräume,1.8500196162307825,0.0017708449590136271,-0.03128108406334291,0.20401425393722536,0.0022182629922237827,Klassenräume
warm klassenraum,1.8500196162307825,0.0017708449590136271,-0.03128108406334291,0.20401425393722536,0.0022182629922237827,warm klassenraum
Energiesparwinter,1.8309738990301003,-0.00400609409871033,-0.02093285221665894,0.21436248578390932,0.012566494838907658,Energiesparwinter
klassenraum energiesparwinter,1.8309738990301003,-0.00400609409871033,-0.02093285221665894,0.21436248578390932,0.012566494838907658,klassenraum energiesparwinter
die schule,2.3537747150995756,0.11377519899464987,-0.2721051429032702,-0.03680980490270216,-0.23860579584770367,die schule
stehen,7.2651136529684965,-0.7921223464988595,0.5522786834342788,-1.1638734444654648,0.918545945676251,stehen
schule steh,1.8125818350684177,-0.00973283634325653,-0.010837098771354506,0.2244582392292137,0.022662248284211994,schule steh
steh groß,1.8331516647504515,-0.0033377510102999756,-0.022121548367418552,0.21317378963314962,0.011377798688148047,steh groß
Aufgabe,1.8412077639540105,-0.0008829619191550978,-0.02650659140353537,0.20878874659703273,0.006992755652031128,Aufgabe
groß aufgabe,1.8412077639540105,-0.0008829619191550978,-0.02650659140353537,0.20878874659703273,0.006992755652031128,groß aufgabe
Lernrückstände,1.852693081962565,0.002569623599660153,-0.032725142198163554,0.20257019580240468,0.0007742048574029987,Lernrückstände
aufgabe lernrückstand,1.852693081962565,0.002569623599660153,-0.032725142198163554,0.20257019580240468,0.0007742048574029987,aufgabe lernrückstand
aufzuholen,1.8754152782915376,0.009241653038640862,-0.04491495831573199,0.1903803796848362,-0.011415611260165302,aufzuholen
lernrückstand aufhol,1.8754152782915376,0.009241653038640862,-0.04491495831573199,0.1903803796848362,-0.011415611260165302,lernrückstand aufhol
ukrainische,3.520667630498529,0.23508475435737766,-0.6747354810419491,-0.43944014304138107,-0.6412361339863826,ukrainische
aufhol ukrainisch,1.9044071115314885,0.01746204910437475,-0.06025557425612999,0.17503976374443808,-0.026756227200563334,aufhol ukrainisch
Geflüchtete,1.934412143017203,0.025642893255706047,-0.07588831992759233,0.15940701807297578,-0.042388972872025754,Geflüchtete
ukrainisch geflüchteter,1.934412143017203,0.025642893255706047,-0.07588831992759233,0.15940701807297578,-0.042388972872025754,ukrainisch geflüchteter
geflüchteter gut,1.973958483479274,0.035949528284352765,-0.09612575077935509,0.13916958722121311,-0.06262640372378846,geflüchteter gut
integrieren,2.003771225911399,0.04338420081676622,-0.11111585964050226,0.12417947836006586,-0.07761651258493557,integrieren
gut integrier,2.003771225911399,0.04338420081676622,-0.11111585964050226,0.12417947836006586,-0.07761651258493557,gut integrier
schule soll,2.210721184604506,0.08827238896105633,-0.20940363183297728,0.02589170616759096,-0.17590428477741069,schule soll
